type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-17 07:31:11,0,0,2.50,0,,8.630,342,27,32,,
T,2023-05-17 07:31:12,-7.27604985,112.80180526,2.00,36.000,,8.700,342,29,34,,
T,2023-05-17 07:31:13,-7.27597048,112.80176385,2.50,37.000,,8.450,330,29,34,,
T,2023-05-17 07:31:14,0,0,2.50,0,,7.250,317,28,34,,
T,2023-05-17 07:31:15,-7.27586239,112.80165296,2.00,37.000,,7.760,309,29,34,,
T,2023-05-17 07:31:16,-7.27581080,112.80158750,2.00,36.000,,9.580,304,29,34,,
T,2023-05-17 07:31:17,0,0,2.00,0,,10.360,304,29,34,,
T,2023-05-17 07:31:18,-7.27570406,112.80143310,2.00,36.000,,10.420,306,29,34,,
T,2023-05-17 07:31:19,0,0,1.50,0,,10.840,305,29,34,,
T,2023-05-17 07:31:20,-7.27558788,112.80126974,1.50,35.000,,11.420,307,29,34,,
T,2023-05-17 07:31:21,-7.27552414,112.80118911,1.50,35.000,,11.480,310,29,34,,
T,2023-05-17 07:31:22,-7.27545608,112.80110839,1.50,35.000,,11.370,311,29,34,,
T,2023-05-17 07:31:23,0,0,1.50,0,,11.220,318,29,34,,
T,2023-05-17 07:31:24,-7.27529603,112.80098601,1.50,35.000,,11.100,332,29,33,,
T,2023-05-17 07:31:25,-7.27520307,112.80094896,1.50,35.000,,10.600,341,28,32,,
T,2023-05-17 07:31:26,-7.27511204,112.80093044,1.50,36.000,,9.820,349,29,33,,
T,2023-05-17 07:31:27,-7.27501930,112.80091812,1.50,36.000,,10.060,352,29,33,,
T,2023-05-17 07:31:28,-7.27492492,112.80090555,1.50,36.000,,10.030,354,27,32,,
T,2023-05-17 07:31:29,-7.27483712,112.80089691,1.50,36.000,,9.270,355,28,33,,
T,2023-05-17 07:31:30,-7.27475640,112.80088895,1.50,36.000,,8.740,355,29,33,,
T,2023-05-17 07:31:31,-7.27468293,112.80087839,1.50,35.000,,7.610,355,28,32,,
T,2023-05-17 07:31:32,-7.27462091,112.80086691,1.50,35.000,,7.330,343,28,32,,
T,2023-05-17 07:31:33,-7.27456190,112.80083841,2.00,35.000,,7.550,331,28,33,,
T,2023-05-17 07:31:34,-7.27450218,112.80079549,2.00,34.000,,7.700,319,29,33,,
T,2023-05-17 07:31:35,-7.27445637,112.80074009,2.00,34.000,,7.680,306,29,31,,
T,2023-05-17 07:31:36,-7.27442330,112.80067815,1.50,34.000,,7.860,293,29,33,,
T,2023-05-17 07:31:37,-7.27440327,112.80060975,2.00,34.000,,8.410,284,29,33,,
T,2023-05-17 07:31:38,-7.27440067,112.80053691,2.00,35.000,,8.460,267,29,33,,
T,2023-05-17 07:31:39,-7.27440516,112.80046583,2.00,35.000,,8.800,263,28,32,,
T,2023-05-17 07:31:40,-7.27441366,112.80038914,2.00,35.000,,9.000,263,28,33,,
T,2023-05-17 07:31:41,-7.27441827,112.80030280,2.00,35.000,,10.250,267,29,34,,
T,2023-05-17 07:31:42,-7.27442531,112.80020423,1.50,35.000,,11.220,267,29,34,,
T,2023-05-17 07:31:43,-7.27442971,112.80009988,1.50,35.000,,11.290,267,29,34,,
T,2023-05-17 07:31:44,-7.27443328,112.79999779,1.50,35.000,,10.820,269,28,33,,
T,2023-05-17 07:31:45,-7.27442980,112.79990659,2.00,35.000,,10.220,272,28,34,,
T,2023-05-17 07:31:46,-7.27442540,112.79981355,1.50,35.000,,10.250,273,29,34,,
T,2023-05-17 07:31:47,-7.27441408,112.79971548,2.00,35.000,,10.800,276,29,34,,
T,2023-05-17 07:31:48,-7.27440838,112.79961742,2.00,35.000,,10.580,270,29,34,,
T,2023-05-17 07:31:49,-7.27440960,112.79952538,2.00,35.000,,10.200,269,28,33,,
T,2023-05-17 07:31:50,-7.27440947,112.79943377,2.00,35.000,,9.350,268,29,34,,
T,2023-05-17 07:31:51,-7.27441387,112.79934601,2.00,35.000,,9.420,266,29,34,,
T,2023-05-17 07:31:52,-7.27442116,112.79925833,2.00,35.000,,9.710,262,29,34,,
T,2023-05-17 07:31:53,-7.27443713,112.79916412,2.00,35.000,,11.190,260,29,34,,
